Model,Year,Month,Precip_mm
CHIRPS,1981,1,1.7101446547999162
CHIRPS,1981,1,2.3716808925854136
CHIRPS,1981,1,2.153745154614553
CHIRPS,1981,1,2.049411587661863
CHIRPS,1981,1,1.9740368747814423
CHIRPS,1981,1,2.3606523354085085
CHIRPS,1981,2,1.1118037837786334
CHIRPS,1981,2,1.1088938224289926
CHIRPS,1981,2,0.8795542328707551
CHIRPS,1981,2,1.055797032871137
CHIRPS,1981,2,1.2666413506407028
CHIRPS,1981,2,1.2254863953534718
CHIRPS,1981,3,4.285822405130775
CHIRPS,1981,3,6.223597667156453
CHIRPS,1981,3,13.05085943481541
CHIRPS,1981,3,7.996067414581518
CHIRPS,1981,3,16.868004020855093
CHIRPS,1981,3,32.826850803272805
CHIRPS,1981,4,13.937611630369355
CHIRPS,1981,4,38.15654026389993
CHIRPS,1981,4,34.47355844133418
CHIRPS,1981,4,26.248537118762734
CHIRPS,1981,4,35.01380807310615
CHIRPS,1981,4,10.36784787893661
CHIRPS,1981,5,15.041767182053228
CHIRPS,1981,5,92.428470803468
CHIRPS,1981,5,79.11653704400881
CHIRPS,1981,5,18.472176735312175
CHIRPS,1981,5,28.998237201990424
CHIRPS,1981,5,13.001133509679434
CHIRPS,1981,6,76.6178986291883
CHIRPS,1981,6,42.81553613191382
CHIRPS,1981,6,15.15198265445914
CHIRPS,1981,6,106.43471665277534
CHIRPS,1981,6,55.9749585641207
CHIRPS,1981,6,107.16975561001304
CHIRPS,1981,7,593.031458747096
CHIRPS,1981,7,173.19916678308195
CHIRPS,1981,7,65.33774368015352
CHIRPS,1981,7,211.4744708090652
CHIRPS,1981,7,175.72253260929864
CHIRPS,1981,7,89.01649351411213
CHIRPS,1981,8,54.18122765322052
CHIRPS,1981,8,134.0095622559717
CHIRPS,1981,8,159.78900774973164
CHIRPS,1981,8,625.1428804564854
CHIRPS,1981,8,319.87364550601626
CHIRPS,1981,8,313.5142555156076
CHIRPS,1981,9,155.17938198157074
CHIRPS,1981,9,62.89255802465874
CHIRPS,1981,9,106.44214549058512
CHIRPS,1981,9,76.05667454213082
CHIRPS,1981,9,127.74132484272084
CHIRPS,1981,9,13.38272458048018
CHIRPS,1981,10,61.03330086946182
CHIRPS,1981,10,63.89908943660352
CHIRPS,1981,10,8.276008671730816
CHIRPS,1981,10,6.492696331290513
CHIRPS,1981,10,6.258169703298074
CHIRPS,1981,10,7.490966709447649
CHIRPS,1981,11,16.63074354912858
CHIRPS,1981,11,7.454168752778063
CHIRPS,1981,11,7.076999261679266
CHIRPS,1981,11,6.878895559486747
CHIRPS,1981,11,15.68012980670281
CHIRPS,1981,11,5.861015254088383
CHIRPS,1981,12,2.2450748390077897
CHIRPS,1981,12,1.032559296984141
CHIRPS,1981,12,0.5272575787429696
CHIRPS,1981,12,0.6601536464356399
CHIRPS,1981,12,0.4908810351845715
CHIRPS,1981,12,1.066902161424004
CHIRPS,1982,1,1.9153872745639553
CHIRPS,1982,1,2.5532639627182157
CHIRPS,1982,1,2.6864190835672646
CHIRPS,1982,1,2.351563539913585
CHIRPS,1982,1,1.860489133026242
CHIRPS,1982,1,2.022064166766003
CHIRPS,1982,2,1.3969666843130388
CHIRPS,1982,2,2.0924990476996004
CHIRPS,1982,2,3.141376302833211
CHIRPS,1982,2,1.1261672609077236
CHIRPS,1982,2,1.9855419456153927
CHIRPS,1982,2,1.2519444845626209
CHIRPS,1982,3,11.617907219237061
CHIRPS,1982,3,5.710910138976288
CHIRPS,1982,3,9.084575307521995
CHIRPS,1982,3,4.844086663305478
CHIRPS,1982,3,5.09211379007626
CHIRPS,1982,3,7.949169463628598
CHIRPS,1982,4,29.0051450176493
CHIRPS,1982,4,28.756225102586974
CHIRPS,1982,4,23.626309860919136
CHIRPS,1982,4,14.793099111829813
CHIRPS,1982,4,22.63542896518404
CHIRPS,1982,4,50.521701507602046
CHIRPS,1982,5,46.90327275159769
CHIRPS,1982,5,17.661133996163084
CHIRPS,1982,5,24.036319407976684
CHIRPS,1982,5,24.716433465263847
CHIRPS,1982,5,10.367788550991532
CHIRPS,1982,5,46.36506063392375
CHIRPS,1982,6,20.17994806692922
CHIRPS,1982,6,15.596696058304193
CHIRPS,1982,6,27.72114779269633
CHIRPS,1982,6,114.4417884034892
CHIRPS,1982,6,15.24191328097877
CHIRPS,1982,6,64.07227298957963
CHIRPS,1982,7,109.071917354101
CHIRPS,1982,7,19.756649271380134
CHIRPS,1982,7,71.76774047058538
CHIRPS,1982,7,54.573289216657344
CHIRPS,1982,7,203.9706928938876
CHIRPS,1982,7,271.307416219203
CHIRPS,1982,8,84.99061222931405
CHIRPS,1982,8,141.74770710590047
CHIRPS,1982,8,315.16255988178847
CHIRPS,1982,8,194.39596651328966
CHIRPS,1982,8,257.17259791891837
CHIRPS,1982,8,122.94789817177352
CHIRPS,1982,9,97.61093300978577
CHIRPS,1982,9,82.52879185301497
CHIRPS,1982,9,14.910881716048191
CHIRPS,1982,9,10.662278190405388
CHIRPS,1982,9,65.43405925287888
CHIRPS,1982,9,39.54888195371995
CHIRPS,1982,10,56.80248850108454
CHIRPS,1982,10,88.60245800465793
CHIRPS,1982,10,21.604734656976646
CHIRPS,1982,10,6.0853504873618744
CHIRPS,1982,10,6.420274097195087
CHIRPS,1982,10,7.607432162399638
CHIRPS,1982,11,3.9494197025930573
CHIRPS,1982,11,4.005025476444464
CHIRPS,1982,11,4.300377416369917
CHIRPS,1982,11,8.587579061873587
CHIRPS,1982,11,4.352474434702659
CHIRPS,1982,11,3.899766647746952
CHIRPS,1982,12,2.214393400626789
CHIRPS,1982,12,1.1433763553805214
CHIRPS,1982,12,0.6301619211150856
CHIRPS,1982,12,0.5442148311255849
CHIRPS,1982,12,0.5830601118916965
CHIRPS,1982,12,0.9228011344226408
CHIRPS,1983,1,1.8856675861278032
CHIRPS,1983,1,1.7870498686225424
CHIRPS,1983,1,2.2266112206984987
CHIRPS,1983,1,2.2204719853219403
CHIRPS,1983,1,2.1214268103888156
CHIRPS,1983,1,2.2907034787337444
CHIRPS,1983,2,1.4608766969470732
CHIRPS,1983,2,1.0067194979024958
CHIRPS,1983,2,0.9612590025191858
CHIRPS,1983,2,1.1144969323882727
CHIRPS,1983,2,1.5636364755473109
CHIRPS,1983,2,1.2267142771128905
CHIRPS,1983,3,2.600372586939914
CHIRPS,1983,3,3.108780444695837
CHIRPS,1983,3,3.3681381675924347
CHIRPS,1983,3,3.762194381461307
CHIRPS,1983,3,3.4649010690208066
CHIRPS,1983,3,5.89392420469655
CHIRPS,1983,4,7.425480719989683
CHIRPS,1983,4,7.85812855174571
CHIRPS,1983,4,8.653712891001927
CHIRPS,1983,4,9.177642862098228
CHIRPS,1983,4,11.400385458507278
CHIRPS,1983,4,13.453614641477534
CHIRPS,1983,5,69.14446638566005
CHIRPS,1983,5,38.749282289894545
CHIRPS,1983,5,28.494682859540895
CHIRPS,1983,5,34.20080198463209
CHIRPS,1983,5,15.584752027122061
CHIRPS,1983,5,59.33523436069767
CHIRPS,1983,6,324.70430906324754
CHIRPS,1983,6,40.83223114427418
CHIRPS,1983,6,29.310674229980023
CHIRPS,1983,6,52.24265886480322
CHIRPS,1983,6,71.03866387939117
CHIRPS,1983,6,90.84192826774105
CHIRPS,1983,7,41.981619413457814
CHIRPS,1983,7,36.88883038540401
CHIRPS,1983,7,69.57837580679384
CHIRPS,1983,7,94.28153647014048
CHIRPS,1983,7,115.03391495329808
CHIRPS,1983,7,262.85757021537927
CHIRPS,1983,8,85.1888088003499
CHIRPS,1983,8,362.0474179648702
CHIRPS,1983,8,81.33368849454703
CHIRPS,1983,8,68.15450203444038
CHIRPS,1983,8,130.32558978850312
CHIRPS,1983,8,199.58548070551726
CHIRPS,1983,9,21.587250569885793
CHIRPS,1983,9,75.10127564827427
CHIRPS,1983,9,130.49230420870163
CHIRPS,1983,9,115.83945480086786
CHIRPS,1983,9,17.63715840059956
CHIRPS,1983,9,13.526271674515442
CHIRPS,1983,10,8.733202248243268
CHIRPS,1983,10,10.100440096071008
CHIRPS,1983,10,8.190704164362995
CHIRPS,1983,10,6.082630253284107
CHIRPS,1983,10,5.560261261455868
CHIRPS,1983,10,5.393302977842751
CHIRPS,1983,11,4.389952727071392
CHIRPS,1983,11,4.622068978367169
CHIRPS,1983,11,8.311936927181895
CHIRPS,1983,11,5.424333433559883
CHIRPS,1983,11,4.9391406300919
CHIRPS,1983,11,5.638043918937067
CHIRPS,1983,12,2.244265669960004
CHIRPS,1983,12,1.0407048658603544
CHIRPS,1983,12,0.558770111245488
CHIRPS,1983,12,0.49797486344218145
CHIRPS,1983,12,0.5317283575150851
CHIRPS,1983,12,0.8761435811765874
CHIRPS,1984,1,1.8200259396274405
CHIRPS,1984,1,2.0617212769483677
CHIRPS,1984,1,2.1509231515586524
CHIRPS,1984,1,2.1294943708847764
CHIRPS,1984,1,2.051031229671173
CHIRPS,1984,1,2.2332481824116086
CHIRPS,1984,2,1.1238649669770369
CHIRPS,1984,2,0.8285147188072214
CHIRPS,1984,2,0.7727258686722236
CHIRPS,1984,2,1.0608316386631138
CHIRPS,1984,2,1.2239422112175184
CHIRPS,1984,2,1.5447334925682554
CHIRPS,1984,3,6.262147611672131
CHIRPS,1984,3,5.733024027888173
CHIRPS,1984,3,5.673099495286358
CHIRPS,1984,3,11.481155619911824
CHIRPS,1984,3,6.308956750291804
CHIRPS,1984,3,15.0611533541351
CHIRPS,1984,4,15.468877064692341
CHIRPS,1984,4,22.550711389270386
CHIRPS,1984,4,37.33833269874517
CHIRPS,1984,4,14.40661926099875
CHIRPS,1984,4,18.418149615551027
CHIRPS,1984,4,11.442899678350965
CHIRPS,1984,5,5.998650279597725
CHIRPS,1984,5,7.719908846015718
CHIRPS,1984,5,8.17145414487329
CHIRPS,1984,5,15.432245965103336
CHIRPS,1984,5,22.599018855658468
CHIRPS,1984,5,39.64088025178398
CHIRPS,1984,6,24.189371259285753
CHIRPS,1984,6,9.745920804088302
CHIRPS,1984,6,27.270883487371623
CHIRPS,1984,6,24.565285163845154
CHIRPS,1984,6,19.22801965126139
CHIRPS,1984,6,162.11524448168012
CHIRPS,1984,7,93.60705842337293
CHIRPS,1984,7,150.6355210678703
CHIRPS,1984,7,41.66034090191315
CHIRPS,1984,7,114.86329137300544
CHIRPS,1984,7,81.41247816255115
CHIRPS,1984,7,234.4479133801387
CHIRPS,1984,8,233.3069911264979
CHIRPS,1984,8,100.56522926767052
CHIRPS,1984,8,139.92030405413465
CHIRPS,1984,8,151.41236336722113
CHIRPS,1984,8,48.82554342823414
CHIRPS,1984,8,43.51258185171676
CHIRPS,1984,9,236.56205042853543
CHIRPS,1984,9,122.60682997813072
CHIRPS,1984,9,13.3788187180559
CHIRPS,1984,9,94.922941464208
CHIRPS,1984,9,21.34336178268133
CHIRPS,1984,9,24.014023385313394
CHIRPS,1984,10,12.917064696437134
CHIRPS,1984,10,6.944282234780155
CHIRPS,1984,10,8.523234966273586
CHIRPS,1984,10,5.606148200139783
CHIRPS,1984,10,5.731987611666788
CHIRPS,1984,10,7.130247383256044
CHIRPS,1984,11,4.239872518190289
CHIRPS,1984,11,5.286294617742425
CHIRPS,1984,11,5.253908262311049
CHIRPS,1984,11,4.928981040141524
CHIRPS,1984,11,4.701505785141365
CHIRPS,1984,11,4.393050729108406
CHIRPS,1984,12,2.4701982354835073
CHIRPS,1984,12,1.2963790456704731
CHIRPS,1984,12,0.7827369829154012
CHIRPS,1984,12,0.70167324026073
CHIRPS,1984,12,0.7435801118454478
CHIRPS,1984,12,1.2491400961594867
CHIRPS,1985,1,2.0279617891715045
CHIRPS,1985,1,2.2106711127046212
CHIRPS,1985,1,2.386064742317826
CHIRPS,1985,1,2.3584030368022884
CHIRPS,1985,1,2.3463603666068504
CHIRPS,1985,1,2.454459759440561
CHIRPS,1985,2,1.2701439092105484
CHIRPS,1985,2,1.085873951993764
CHIRPS,1985,2,1.02474324700486
CHIRPS,1985,2,1.2004096512064673
CHIRPS,1985,2,1.6689939219374472
CHIRPS,1985,2,1.2719494116886916
CHIRPS,1985,3,5.089830052425728
CHIRPS,1985,3,7.714178306218934
CHIRPS,1985,3,5.768008542992244
CHIRPS,1985,3,6.033465555042824
CHIRPS,1985,3,16.416685148982378
CHIRPS,1985,3,11.122689137113882
CHIRPS,1985,4,19.41251136533165
CHIRPS,1985,4,34.79058068149958
CHIRPS,1985,4,14.55601003693918
CHIRPS,1985,4,13.836977971304867
CHIRPS,1985,4,29.826909071734256
CHIRPS,1985,4,30.326326723380546
CHIRPS,1985,5,127.56510150665143
CHIRPS,1985,5,13.623635039603458
CHIRPS,1985,5,93.12663744381416
CHIRPS,1985,5,17.765594135909176
CHIRPS,1985,5,16.48025954986279
CHIRPS,1985,5,23.15269366568802
CHIRPS,1985,6,29.466673526863847
CHIRPS,1985,6,74.88586896342461
CHIRPS,1985,6,110.81327906778105
CHIRPS,1985,6,138.0507111848559
CHIRPS,1985,6,194.86547096494704
CHIRPS,1985,6,49.74811352065765
CHIRPS,1985,7,220.69790836785074
CHIRPS,1985,7,203.28659140846287
CHIRPS,1985,7,157.0723765411511
CHIRPS,1985,7,136.75269442428393
CHIRPS,1985,7,117.42374029436951
CHIRPS,1985,7,179.9375950756916
CHIRPS,1985,8,114.94876909164824
CHIRPS,1985,8,175.3492426180422
CHIRPS,1985,8,174.43830321695768
CHIRPS,1985,8,81.54943519862397
CHIRPS,1985,8,169.91264048678184
CHIRPS,1985,8,265.74843793868797
CHIRPS,1985,9,135.6722147339983
CHIRPS,1985,9,119.84154911331576
CHIRPS,1985,9,67.99310224762115
CHIRPS,1985,9,47.81493358537045
CHIRPS,1985,9,37.96319543317363
CHIRPS,1985,9,10.782244922928983
CHIRPS,1985,10,22.330919700151057
CHIRPS,1985,10,6.380368981341183
CHIRPS,1985,10,6.40608357526135
CHIRPS,1985,10,4.8570185677973
CHIRPS,1985,10,10.797732686535632
CHIRPS,1985,10,6.334166160965474
CHIRPS,1985,11,14.160230673967071
CHIRPS,1985,11,29.462997001379364
CHIRPS,1985,11,9.580468191537113
CHIRPS,1985,11,20.924452548904327
CHIRPS,1985,11,5.426843905752027
CHIRPS,1985,11,4.3772548699486356
CHIRPS,1985,12,2.193435604574681
CHIRPS,1985,12,1.5684469311742353
CHIRPS,1985,12,0.5909949877942247
CHIRPS,1985,12,0.5227836832112034
CHIRPS,1985,12,0.6354904868188964
CHIRPS,1985,12,0.8819414333299929
CHIRPS,1986,1,1.8234967563232667
CHIRPS,1986,1,2.0489458890174945
CHIRPS,1986,1,2.137378916854364
CHIRPS,1986,1,2.061142859140247
CHIRPS,1986,1,2.0384669092869085
CHIRPS,1986,1,2.200050511269533
CHIRPS,1986,2,1.1367606587296615
CHIRPS,1986,2,0.9778759521126044
CHIRPS,1986,2,0.9332737382415709
CHIRPS,1986,2,1.143204544263158
CHIRPS,1986,2,1.2946304394676096
CHIRPS,1986,2,1.1963432502396292
CHIRPS,1986,3,5.572249375692496
CHIRPS,1986,3,4.173648838678144
CHIRPS,1986,3,3.2998565066189967
CHIRPS,1986,3,4.021629287944644
CHIRPS,1986,3,5.580259116865976
CHIRPS,1986,3,39.78945301135786
CHIRPS,1986,4,21.053419141093396
CHIRPS,1986,4,7.444409709264283
CHIRPS,1986,4,13.397932674324403
CHIRPS,1986,4,19.398953569399318
CHIRPS,1986,4,15.487867628150859
CHIRPS,1986,4,9.064647347742147
CHIRPS,1986,5,10.006931972199157
CHIRPS,1986,5,24.14127372182181
CHIRPS,1986,5,16.887314518997027
CHIRPS,1986,5,15.612412465186456
CHIRPS,1986,5,15.419896225288806
CHIRPS,1986,5,16.420607837889186
CHIRPS,1986,6,25.50464170915258
CHIRPS,1986,6,36.0013977262279
